mturkcode,q1,q9,q10_1_text,q10_2_text,q10_3_text,q10_4_text,q10_5_text,q10_6_text,q8,q11_1_text,q11_2_text,q11_3_text,q11_4_text,q11_5_text,q11_6_text,video_type,attention_correct
9551377166,21,Female,6,4,8,3,4,8,Use of irrigation in agriculture,7,4,9,9,5,5,I,true
3913367236,23,Female,7,4,6,4,3,1,Use of animals in agriculture,0,10,10,4,4,4,F,true
6137580652,22,Male,1,8,10,2,5,7,Use of animals in agriculture,4,7,7,10,4,1,P,true
3283699164,24,Male,8,6,0,2,6,2,Use of animals in agriculture,8,5,1,0,7,3,P,true
2486670850,23,Female,0,4,3,9,6,0,Use of animals in agriculture,4,5,9,4,4,7,F,true
2439857069,18,Female,1,1,5,8,0,0,Use of animals in agriculture,6,7,6,2,0,0,P,true
1634072791,18,Male,4,0,0,5,5,6,Use of animals in agriculture,7,6,7,10,6,6,F,true
7752418932,21,Male,10,9,2,8,5,10,Use of irrigation in agriculture,4,10,6,6,5,7,I,true
3007566351,24,Male,4,10,3,4,4,8,Use of irrigation in agriculture,10,9,1,0,5,1,I,true
7131936633,22,Male,2,10,2,0,6,9,Use of animals in agriculture,1,7,1,6,5,1,P,true
2460557976,19,Female,1,4,7,2,5,10,Use of irrigation in agriculture,8,10,3,7,4,9,I,true
3386684465,24,Female,5,5,5,8,0,0,Use of animals in agriculture,4,8,3,7,0,0,F,true
2771508879,17,Male,5,1,1,1,5,2,Use of animals in agriculture,7,5,2,5,5,7,F,true
1086277668,16,Male,3,8,4,6,6,5,Use of irrigation in agriculture,5,10,0,3,5,3,I,true
3084312980,15,Male,0,9,7,9,0,0,Use of irrigation in agriculture,10,4,4,0,0,0,I,true
9509886088,23,Male,10,2,7,1,0,0,Use of animals in agriculture,8,2,3,8,0,0,F,true
4815021096,24,Female,10,6,7,7,6,5,Use of irrigation in agriculture,5,1,8,0,6,2,I,true
5221599661,19,Female,8,7,6,4,3,7,Use of animals in agriculture,6,1,2,8,3,3,P,true
5798124726,21,Male,10,2,10,5,3,5,Use of animals in agriculture,6,1,3,4,4,7,F,true
320141017,20,Female,7,7,3,8,4,10,Use of animals in agriculture,5,2,3,7,4,5,P,true
9194030025,18,Male,2,6,5,10,6,5,Use of animals in agriculture,0,1,7,1,7,1,F,true
7316649812,17,Female,2,7,10,3,5,7,Use of irrigation in agriculture,4,6,7,9,5,0,I,true
3914781296,20,Female,6,0,9,7,4,8,Use of animals in agriculture,3,7,0,6,4,2,P,true
6079582637,25,Female,6,5,1,9,4,1,Use of animals in agriculture,9,10,9,5,4,9,F,true
8438635230,17,Female,6,0,2,4,4,7,Use of irrigation in agriculture,10,1,9,6,4,10,I,true
5948438667,23,Female,10,10,5,2,5,0,Use of animals in agriculture,0,8,3,9,4,1,P,true
4785195821,23,Female,0,0,3,7,4,9,Use of animals in agriculture,9,9,1,4,3,5,F,true
5323185003,23,Male,9,1,2,1,0,0,Use of animals in agriculture,0,5,10,7,0,0,F,true
1199932782,16,Female,8,7,0,9,5,3,Use of irrigation in agriculture,6,6,4,5,6,2,I,true
9128054780,15,Female,3,2,7,6,3,9,Use of irrigation in agriculture,9,8,5,5,3,7,I,true
1342720142,18,Male,2,4,4,6,6,1,Use of animals in agriculture,5,0,5,5,7,6,P,true
658671995,16,Female,0,1,5,4,4,7,Use of animals in agriculture,6,5,2,9,3,0,P,true
9786517261,24,Female,6,7,10,3,4,4,Use of animals in agriculture,10,10,2,9,3,5,F,true
7636287505,19,Male,4,1,8,3,0,0,Use of irrigation in agriculture,7,4,4,2,0,0,I,true
9128075004,24,Female,10,4,2,5,5,5,Use of animals in agriculture,8,8,1,3,6,5,P,true
1789343622,19,Female,9,3,7,4,6,5,Use of irrigation in agriculture,2,3,0,2,5,2,I,true
8470598966,15,Male,10,7,4,1,5,10,Use of animals in agriculture,9,10,2,3,4,1,F,true
6791754215,24,Female,5,1,5,0,4,2,Use of animals in agriculture,6,2,5,5,5,3,P,true
6100317919,19,Female,5,9,0,9,5,6,Use of animals in agriculture,3,0,5,6,5,2,P,true
716339820,18,Female,5,4,2,10,4,10,Use of animals in agriculture,5,9,6,3,3,3,P,true
2299937955,19,Female,6,3,2,7,4,10,Use of animals in agriculture,4,0,9,6,3,6,F,true
4377064467,20,Female,8,7,0,4,5,2,Use of irrigation in agriculture,7,0,3,3,5,3,I,true
3070465712,21,Female,9,10,4,5,4,9,Use of irrigation in agriculture,2,9,2,8,5,4,I,true
8574208510,23,Female,4,3,7,10,4,4,Use of animals in agriculture,0,3,5,9,5,7,F,true
2755411285,25,Female,0,1,6,1,4,3,Use of irrigation in agriculture,8,10,1,6,5,5,I,true
4825685378,16,Male,1,2,7,10,5,10,Use of animals in agriculture,7,10,7,6,6,3,F,true
1146784746,23,Male,3,2,3,4,6,5,Use of animals in agriculture,3,2,2,9,7,1,F,true
3148405789,22,Female,1,1,5,0,5,9,Use of animals in agriculture,10,5,0,9,6,6,P,true
3358096196,16,Female,10,2,9,8,5,10,Use of animals in agriculture,7,9,4,4,6,6,P,true
6311853947,21,Male,7,4,1,1,3,9,Use of irrigation in agriculture,10,4,8,2,4,3,I,true
3057016138,23,Male,8,5,10,7,4,4,Use of irrigation in agriculture,0,8,2,9,5,10,I,true
6842277394,19,Female,8,9,7,3,5,3,Use of irrigation in agriculture,4,3,1,1,6,3,I,true
6050059362,22,Male,1,6,8,2,4,2,Use of animals in agriculture,5,0,1,8,4,1,P,true
4781803078,22,Female,7,0,3,5,3,8,Use of animals in agriculture,10,0,1,6,3,8,P,true
7065630671,15,Female,7,9,2,9,4,3,Use of animals in agriculture,7,10,5,3,2,0,F,true
9148894436,17,Male,1,1,8,0,4,4,Use of animals in agriculture,2,4,7,4,3,9,F,true
712163113,25,Female,7,0,4,1,0,0,Use of irrigation in agriculture,8,7,8,8,0,0,I,true
4086363990,16,Male,9,7,2,10,4,9,Use of animals in agriculture,4,6,9,8,5,9,P,true
5002582762,17,Female,8,2,7,5,4,8,Use of irrigation in agriculture,3,3,4,8,3,2,I,true
2355277575,25,Male,1,9,3,2,5,0,Use of animals in agriculture,3,5,4,0,5,10,F,true
3854601359,23,Female,0,3,1,5,5,4,Use of animals in agriculture,10,8,9,2,6,2,P,true
388883524,24,Female,1,10,7,10,5,10,Use of animals in agriculture,1,9,6,6,5,0,F,true
904427850,17,Male,4,0,3,7,0,0,Use of animals in agriculture,2,7,4,2,0,0,P,true
5865224217,20,Female,1,2,3,2,4,5,Use of irrigation in agriculture,4,7,9,4,3,6,I,true
7024620505,19,Male,7,8,2,10,4,1,Use of animals in agriculture,6,0,5,6,3,9,P,true
3210756583,16,Male,9,2,6,0,4,1,Use of irrigation in agriculture,1,8,9,8,5,3,I,true
3349410789,16,Female,8,6,10,0,3,5,Use of animals in agriculture,3,1,1,9,4,3,F,true
1307687247,21,Male,2,3,0,3,4,5,Use of animals in agriculture,5,3,3,10,3,4,F,true
5882811923,22,Male,0,0,4,6,5,0,Use of animals in agriculture,3,6,9,9,4,0,F,true
8584791207,25,Female,2,1,0,1,6,3,Use of irrigation in agriculture,0,6,0,8,7,7,I,true
8999607204,21,Female,9,2,10,7,4,8,Use of animals in agriculture,3,2,1,9,4,9,P,true
6856284369,15,Female,4,7,8,10,5,3,Use of animals in agriculture,5,6,3,5,5,5,F,true
7102346885,23,Male,7,7,5,4,5,8,Use of animals in agriculture,7,0,0,4,4,2,P,true
5672077327,25,Male,10,6,6,7,3,0,Use of irrigation in agriculture,5,8,7,6,2,1,I,true
5148245468,17,Male,1,0,8,3,5,5,Use of irrigation in agriculture,9,1,4,7,4,7,I,true
7381833731,16,Male,9,10,4,5,5,4,Use of animals in agriculture,6,1,6,10,4,8,F,true
6145662404,17,Female,7,0,5,9,5,9,Use of animals in agriculture,3,10,4,2,6,4,F,true
7294312738,21,Male,5,0,7,9,4,2,Use of animals in agriculture,1,5,0,0,4,0,P,true
6056799199,20,Male,1,4,7,1,4,5,Use of irrigation in agriculture,2,1,7,5,4,6,I,true
9038523621,25,Male,5,3,3,5,4,0,Use of animals in agriculture,0,8,9,5,3,0,P,true
9805825562,18,Male,8,0,3,9,4,4,Use of animals in agriculture,2,4,6,10,3,6,F,true
4075578753,19,Male,4,2,0,3,6,10,Use of animals in agriculture,9,7,2,10,6,6,F,true
7902794205,23,Female,7,9,3,8,4,5,Use of animals in agriculture,4,3,1,9,5,2,P,true
6086242818,19,Male,3,2,8,6,4,0,Use of irrigation in agriculture,3,4,6,8,5,0,I,true
5766463675,20,Male,8,2,7,5,0,0,Use of irrigation in agriculture,7,2,9,4,0,0,I,true
8710681656,24,Male,6,7,8,2,4,6,Use of animals in agriculture,10,6,2,3,3,9,P,true
3295435537,21,Female,9,2,2,1,5,0,Use of irrigation in agriculture,8,5,7,9,4,3,I,true
7549124700,18,Male,5,1,5,5,4,4,Use of animals in agriculture,8,9,9,7,4,10,F,true
5549678239,17,Female,10,9,3,8,4,5,Use of irrigation in agriculture,3,0,2,10,5,3,I,true
8539732475,16,Female,10,0,5,9,4,5,Use of animals in agriculture,4,9,3,6,5,9,P,true
3296972904,16,Male,3,6,5,9,5,9,Use of animals in agriculture,6,4,3,8,5,8,P,true
7808611900,20,Male,6,10,8,4,4,2,Use of animals in agriculture,1,9,6,0,4,10,F,true
9210552307,21,Female,9,3,3,3,3,10,Use of irrigation in agriculture,2,6,8,1,2,0,I,true
2279486246,21,Male,3,10,2,7,5,10,Use of animals in agriculture,0,10,1,6,6,3,F,true
1485104616,19,Male,7,8,7,3,5,4,Use of animals in agriculture,10,1,6,8,4,3,P,true
7118149879,17,Female,0,9,7,9,4,1,Use of animals in agriculture,3,3,8,6,3,7,F,true
3006102605,16,Female,8,3,8,6,5,5,Use of irrigation in agriculture,3,4,4,7,5,10,I,true
8637295053,25,Male,8,1,8,2,5,2,Use of animals in agriculture,3,7,7,7,6,1,P,true
2574901520,22,Female,0,2,0,3,4,6,Use of irrigation in agriculture,9,1,8,0,5,6,I,true
296028279,21,Female,3,7,7,2,5,3,Use of animals in agriculture,3,0,7,4,6,0,F,true
942262904,23,Male,6,6,2,8,5,7,Use of irrigation in agriculture,5,2,6,1,4,0,I,true
1958950404,16,Male,9,2,10,7,5,1,Use of animals in agriculture,1,6,4,0,4,10,F,true
5233992831,16,Female,6,2,7,1,6,10,Use of animals in agriculture,10,1,10,7,5,9,P,true
158579912,25,Female,4,7,10,7,5,0,Use of animals in agriculture,8,4,6,0,4,2,P,true
4094985071,16,Female,7,6,9,3,4,2,Use of animals in agriculture,5,0,10,5,3,1,F,true
9367486848,24,Male,3,10,7,10,5,1,Use of irrigation in agriculture,4,0,0,1,6,5,I,true
1933403271,25,Male,9,7,7,7,4,8,Use of animals in agriculture,5,7,8,8,3,8,P,true
3207865962,17,Male,3,4,7,7,5,6,Use of animals in agriculture,6,10,2,4,5,0,P,true
6175360744,17,Female,7,7,7,0,4,9,Use of irrigation in agriculture,4,10,6,10,3,3,I,true
8519791211,20,Male,4,9,2,6,5,7,Use of animals in agriculture,6,6,7,4,4,1,F,true
4853455023,25,Female,1,9,10,8,4,7,Use of irrigation in agriculture,3,0,3,6,4,10,I,true
6990361083,20,Female,1,10,0,6,6,3,Use of animals in agriculture,10,4,7,0,5,0,P,true
3774296999,15,Male,3,8,8,10,5,4,Use of animals in agriculture,8,5,1,3,6,5,F,true
9549697535,21,Male,1,8,0,2,6,0,Use of animals in agriculture,10,6,0,3,7,1,P,true
8614602545,24,Female,4,8,7,8,3,3,Use of irrigation in agriculture,0,9,7,4,3,0,I,true
8361953948,25,Female,0,2,5,3,6,7,Use of animals in agriculture,8,4,1,3,6,9,F,true
7352022030,20,Male,9,10,0,10,5,3,Use of irrigation in agriculture,9,3,0,10,5,1,I,true
8664639680,22,Male,5,6,1,9,4,2,Use of animals in agriculture,3,8,10,3,5,6,F,true
5337209310,18,Male,1,0,2,3,5,5,Use of animals in agriculture,8,10,4,6,6,5,P,true
4923272724,17,Male,5,5,6,0,0,0,Use of irrigation in agriculture,6,2,0,0,0,0,I,true
7611853070,18,Male,9,1,10,1,5,0,Use of animals in agriculture,0,9,10,2,4,2,F,true
8523257640,23,Female,4,8,8,1,5,8,Use of animals in agriculture,1,10,6,2,4,1,P,true
8308251728,19,Female,7,0,4,3,5,4,Use of animals in agriculture,6,7,10,6,6,7,P,true
1475917985,20,Male,5,10,3,5,5,2,Use of irrigation in agriculture,6,3,0,5,4,1,I,true
6316445185,18,Female,7,4,7,7,5,8,Use of animals in agriculture,10,8,3,9,5,9,P,true
9635727577,20,Male,10,5,2,4,4,7,Use of irrigation in agriculture,6,7,0,1,5,5,I,true
8232365795,18,Male,10,9,6,2,5,1,Use of animals in agriculture,3,7,3,7,6,10,F,true
8254128457,18,Male,7,6,0,5,5,4,Use of animals in agriculture,8,9,8,7,5,10,F,true
561511740,19,Female,10,10,6,3,5,6,Use of animals in agriculture,9,10,8,2,5,4,F,true
7252967250,18,Male,1,7,4,10,5,8,Use of irrigation in agriculture,6,4,6,0,5,10,I,true
5221663219,16,Male,8,8,7,7,5,10,Use of animals in agriculture,8,4,4,0,4,5,P,true
5102055282,24,Female,8,9,1,2,4,1,Use of animals in agriculture,4,10,9,3,4,0,P,true
4085513786,25,Male,6,0,0,0,6,4,Use of animals in agriculture,0,2,10,5,5,3,F,true
5806347220,18,Male,0,1,10,1,0,0,Use of animals in agriculture,7,10,0,1,0,0,F,true
7564863394,23,Male,1,5,10,10,5,7,Use of animals in agriculture,1,8,9,2,6,3,P,true
5792762241,18,Female,9,3,8,10,0,0,Use of animals in agriculture,7,4,2,1,0,0,F,true
4326596623,15,Female,10,8,1,4,5,3,Use of irrigation in agriculture,8,4,7,0,4,7,I,true
9896546783,17,Male,4,5,10,8,4,1,Use of animals in agriculture,6,10,9,3,3,2,P,true
1408243342,15,Male,9,2,5,8,4,4,Use of irrigation in agriculture,9,0,6,7,3,7,I,true
7574711591,19,Female,7,9,6,4,5,9,Use of animals in agriculture,6,7,6,7,5,10,F,true
2035497492,16,Male,1,3,8,1,5,2,Use of animals in agriculture,2,2,10,5,6,1,F,true
4075792855,25,Female,6,6,9,8,6,1,Use of animals in agriculture,3,0,6,10,7,4,P,true
2594578461,21,Male,2,5,1,5,4,1,Use of irrigation in agriculture,1,9,9,3,4,10,I,true
1640023179,19,Female,2,3,5,6,5,8,Use of irrigation in agriculture,9,9,3,9,6,7,I,true
4883686555,21,Female,6,5,2,8,5,7,Use of animals in agriculture,9,8,5,9,4,2,P,true
4731622072,22,Female,10,9,1,0,4,10,Use of irrigation in agriculture,2,8,9,10,3,6,I,true
7074774922,25,Male,5,3,2,2,4,8,Use of animals in agriculture,0,8,9,6,4,2,F,true
7175706578,17,Male,5,4,9,4,5,5,Use of irrigation in agriculture,6,3,5,2,6,4,I,true
286278040,16,Female,7,1,1,6,5,9,Use of animals in agriculture,5,6,9,3,4,1,F,true
9328931421,23,Male,2,4,8,1,4,3,Use of animals in agriculture,3,6,3,0,3,4,P,true
6440867884,23,Female,6,8,8,10,5,0,Use of animals in agriculture,7,1,5,7,5,0,P,true
581521089,19,Male,4,0,5,6,0,0,Use of irrigation in agriculture,6,6,1,5,0,0,I,true
855151885,24,Female,9,2,2,7,6,3,Use of irrigation in agriculture,4,8,9,8,7,8,I,true
1944173611,25,Male,7,1,4,3,5,1,Use of animals in agriculture,10,10,0,8,6,2,P,true
6822314113,25,Female,6,3,2,8,0,0,Use of animals in agriculture,1,0,4,6,0,0,F,true
9133100430,18,Female,9,1,10,3,6,2,Use of animals in agriculture,9,1,0,2,6,9,F,true
8545550024,17,Female,9,3,7,10,4,3,Use of animals in agriculture,0,5,10,3,5,1,P,true
5438914126,20,Male,7,1,10,2,5,2,Use of irrigation in agriculture,1,1,1,6,4,6,I,true
2668200181,22,Female,5,8,4,5,5,10,Use of animals in agriculture,2,5,1,3,6,7,F,true
4518816573,19,Male,10,1,4,9,0,0,Use of animals in agriculture,5,2,1,10,0,0,P,true
9992694649,25,Female,7,1,0,0,5,4,Use of irrigation in agriculture,7,8,0,8,4,4,I,true
4507372258,24,Female,9,3,2,6,5,3,Use of animals in agriculture,6,7,0,0,5,9,P,true
6114493366,24,Male,2,4,4,9,0,0,Use of animals in agriculture,10,1,0,9,0,0,F,true
7815184807,17,Female,8,8,4,4,4,7,Use of animals in agriculture,4,0,0,0,5,9,P,true
9813690697,16,Male,2,10,5,2,4,7,Use of irrigation in agriculture,4,1,4,10,5,2,I,true
5512340716,22,Female,3,9,9,5,5,3,Use of animals in agriculture,0,5,7,5,4,1,P,true
3878093524,15,Male,7,4,3,0,0,0,Use of animals in agriculture,10,1,9,5,0,0,F,true
7973116557,18,Male,2,3,0,2,4,5,Use of animals in agriculture,9,6,9,1,3,7,F,true
7534921076,23,Female,5,4,6,3,6,5,Use of irrigation in agriculture,4,2,1,0,5,7,I,true
60908575,19,Male,6,10,6,7,4,4,Use of animals in agriculture,9,2,8,2,5,5,P,true
2029082174,21,Female,10,7,6,6,5,1,Use of animals in agriculture,3,5,5,7,3,3,F,true
7946189534,21,Male,10,8,3,6,4,6,Use of irrigation in agriculture,10,5,6,10,3,9,I,true
5732736391,23,Male,6,0,2,8,5,1,Use of irrigation in agriculture,6,3,3,3,4,8,I,true
678213937,23,Male,5,3,1,1,5,6,Use of animals in agriculture,10,3,4,7,5,1,P,true
4085415326,21,Female,6,7,9,8,4,5,Use of animals in agriculture,10,1,7,5,4,3,F,true
378065868,15,Female,2,6,2,8,5,0,Use of animals in agriculture,3,10,2,1,5,5,F,true
8720391653,17,Male,10,2,7,9,4,10,Use of animals in agriculture,10,5,10,6,4,1,F,true
8103395528,25,Female,0,2,3,5,6,0,Use of animals in agriculture,5,9,5,1,5,8,P,true
7035436253,22,Female,9,1,3,6,4,5,Use of irrigation in agriculture,5,4,1,2,5,1,I,true
1505526457,15,Female,7,3,4,1,4,7,Use of animals in agriculture,7,3,4,5,3,5,P,true
8902323259,19,Male,0,7,7,7,4,7,Use of irrigation in agriculture,5,8,10,6,4,6,I,true
9992695334,21,Male,7,5,7,9,3,5,Use of irrigation in agriculture,7,5,4,3,3,3,I,true
5351962572,15,Female,0,10,4,4,5,4,Use of animals in agriculture,1,7,0,5,4,9,F,true
6416829214,22,Male,5,5,0,0,5,3,Use of animals in agriculture,5,4,9,9,6,0,F,true
9640223225,22,Female,6,9,8,3,5,1,Use of irrigation in agriculture,6,7,3,7,5,9,I,true
509029580,16,Male,7,2,2,4,4,1,Use of animals in agriculture,6,5,4,6,3,4,P,true
3186692944,17,Male,1,8,7,6,5,2,Use of animals in agriculture,6,0,7,2,6,4,P,true
6779916845,22,Female,4,4,9,2,4,10,Use of animals in agriculture,6,9,2,8,5,10,P,true
760450381,19,Female,6,5,6,4,5,1,Use of irrigation in agriculture,2,5,0,0,4,5,I,true
6595412427,19,Female,8,7,7,6,5,6,Use of animals in agriculture,5,0,10,8,4,2,F,true
9904691525,22,Male,1,1,5,8,6,8,Use of animals in agriculture,7,8,0,2,5,8,P,true
277914782,17,Female,10,10,7,10,4,3,Use of animals in agriculture,3,6,4,10,3,3,F,true
759080592,15,Female,3,8,3,10,0,0,Use of irrigation in agriculture,3,3,3,3,0,0,I,true
5993129117,24,Male,1,10,9,0,6,8,Use of irrigation in agriculture,10,1,5,8,7,0,I,true
5536913569,18,Male,6,7,9,1,6,8,Use of animals in agriculture,4,7,10,8,6,0,F,true
4751400458,16,Female,2,6,9,10,5,3,Use of irrigation in agriculture,0,0,9,6,4,0,I,true
9111948888,15,Female,10,1,9,4,4,1,Use of animals in agriculture,4,8,6,2,3,6,P,true
1457471102,24,Female,10,9,10,4,0,0,Use of animals in agriculture,5,5,6,4,0,0,P,true
